dataset_id,bioma,data_coleta_ano
ctb0682-238,Cerrado,1960
ctb0678-46,Caatinga,1961
ctb0678-97,Caatinga,1962
ctb0064-8486,Caatinga,1963
ctb0777-15,Caatinga,1964
ctb0677-70,Amazônia,1965
ctb0677-5,Cerrado,1965
ctb0677-80,Amazônia,1965
ctb0064-9004,Mata Atlântica,1966
ctb0662-P55,Mata Atlântica,1966
ctb0662-P9,Mata Atlântica,1966
ctb0064-7852,Caatinga,1967
ctb0064-9826,Caatinga,1967
ctb0636-Perfil-08,Mata Atlântica,1967
ctb0678-33,Caatinga,1967
ctb0678-90,Caatinga,1967
ctb0694-58,Caatinga,1967
ctb0631-Perfil-10,Mata Atlântica,1968
ctb0636-Perfil-16,Mata Atlântica,1968
ctb0636-Perfil-28,Mata Atlântica,1968
ctb0662-P36,Mata Atlântica,1968
ctb0691-18,Mata Atlântica,1968
ctb0770-92,Pampa,1968
ctb0656-Perfil-50,Caatinga,1968
ctb0636-Perfil-09,Mata Atlântica,1969
ctb0662-P45,Mata Atlântica,1969
ctb0662-P56,Mata Atlântica,1969
ctb0691-8,Mata Atlântica,1969
ctb0064-12085,Caatinga,1969
ctb0064-8241,Caatinga,1969
ctb0064-8935,Pantanal,1969
ctb0777-9,Caatinga,1970
ctb0661-P86,Caatinga,1970
ctb0662-P68,Mata Atlântica,1970
ctb0064-8560,Mata Atlântica,1971
ctb0769-34,Mata Atlântica,1971
ctb0574-GB-19,Mata Atlântica,1971
ctb0574-GB-23,Mata Atlântica,1971
ctb0662-P82,Mata Atlântica,1971
ctb0807-P18,Mata Atlântica,1971
ctb0808-GB-19,Mata Atlântica,1971
ctb0064-8544,Caatinga,1972
ctb0631-Perfil-32,Mata Atlântica,1972
ctb0679-Perfil-275,Caatinga,1972
ctb0064-12146,Caatinga,1972
ctb0064-8647,Caatinga,1972
ctb0679-Perfil-273,Caatinga,1972
ctb0679-Perfil-329,Caatinga,1972
ctb0064-9445,Caatinga,1973
ctb0631-Perfil-71,Mata Atlântica,1974
ctb0631-Perfil-33,Mata Atlântica,1975
ctb0631-Perfil-65,Mata Atlântica,1975
ctb0607-PERFIL-53,Mata Atlântica,1977
ctb0641-P-IIIRCC-13-PR,Mata Atlântica,1977
ctb0770-21,Mata Atlântica,1977
ctb0770-26,Pampa,1977
ctb0770-40,Mata Atlântica,1977
ctb0770-56,Pampa,1977
ctb0770-E23,Mata Atlântica,1977
ctb0826-P18,Cerrado,1977
ctb0770-27,Pampa,1977
ctb0770-43,Mata Atlântica,1977
ctb0826-P13,Cerrado,1977
ctb0826-P8,Cerrado,1977
ctb0826-PC1,Cerrado,1977
ctb0617-Perfil-17,Cerrado,1978
ctb0617-Perfil-30,Cerrado,1978
ctb0631-Perfil-29,Mata Atlântica,1978
ctb0642-Perfil-71,Cerrado,1978
ctb0667-Perfil-20,Amazônia,1978
ctb0631-Perfil-15,Mata Atlântica,1978
ctb0639-PERFIL-6,Amazônia,1979
ctb0763-109,Cerrado,1979
ctb0637-Perfil-122,Cerrado,1980
ctb0637-Perfil-60,Cerrado,1980
ctb0769-34-EXTRA,Cerrado,1980
ctb0769-55-EXTRA,Mata Atlântica,1981
ctb0771-33-EXTRA,Mata Atlântica,1981
ctb0787-29,Mata Atlântica,1981
ctb0787-31,Mata Atlântica,1981
ctb0787-43,Mata Atlântica,1981
ctb0787-47,Mata Atlântica,1981
ctb0826-PC26,Cerrado,1981
ctb0645-Perfil-163,Cerrado,1981
ctb0689-3,Amazônia,1981
ctb0769-38-EXTRA,Mata Atlântica,1981
ctb0787-69,Mata Atlântica,1981
ctb0787-78,Mata Atlântica,1981
ctb0645-Perfil-79,Amazônia,1982
ctb0779-PERFIL-2-RJ,Mata Atlântica,1983
ctb0705-25,Amazônia,1984
ctb0709-67,Amazônia,1984
ctb0753-115,Amazônia,1984
ctb0562-Perfil-16,Cerrado,1984
ctb0664-PERFIL-61,Amazônia,1984
ctb0664-PERFIL-91,Amazônia,1984
ctb0703-18,Amazônia,1984
ctb0709-30,Amazônia,1984
ctb0713-3,Amazônia,1984
ctb0756-120,Amazônia,1984
ctb0064-7644,Mata Atlântica,1987
