dataset_id,estado,data_coleta_ano
ctb0829-E28,AM,1948
ctb0757-21,CE,1948
ctb0704-30,PI,1948
ctb0751-20,AM,1948
ctb0757-25,CE,1948
ctb0709-25,RR,1948
ctb0751-41,AM,1948
ctb0758-63,TO,1948
ctb0770-104,RS,1948
ctb0752-11,AM,1948
ctb0704-15,MA,1948
ctb0709-43,RR,1948
ctb0709-53,RR,1948
ctb0751-188,RO,1948
ctb0756-269,MT,1948
ctb0757-28,CE,1948
ctb0829-E24,AM,1948
ctb0829-E30,AM,1948
ctb0709-26,RR,1948
ctb0709-42,RR,1948
ctb0758-278,TO,1948
ctb0769-70,SP,1948
ctb0770-E37,RS,1948
ctb0704-27,PI,1948
ctb0758-150,TO,1948
ctb0767-79,BA,1948
ctb0704-3,PI,1948
ctb0704-5,CE,1948
ctb0706-26,AP,1948
ctb0709-64,RR,1948
ctb0713-4,AC,1948
ctb0770-E38,RS,1948
ctb0770-E91,RS,1948
ctb0697-3,PI,1948
ctb0705-4,PA,1948
ctb0713-31,AM,1948
ctb0713-8,AC,1948
ctb0714-28,AM,1948
ctb0717-62,AC,1948
ctb0752-14,AM,1948
ctb0664-PERFIL-40,AM,1948
ctb0697-2,PI,1948
ctb0697-7,PI,1948
ctb0703-1,PA,1948
ctb0704-14,PI,1948
ctb0717-60,AC,1948
ctb0753-124,AM,1948
ctb0753-92,AM,1948
ctb0682-234,MS,1948
ctb0704-23,MA,1948
ctb0704-8,PI,1948
ctb0713-51,AC,1948
ctb0714-40,AM,1948
ctb0757-11,PI,1948
ctb0757-23,CE,1948
ctb0682-238,MS,1948
ctb0697-5,PI,1948
ctb0709-41,RR,1948
ctb0713-53,AC,1948
ctb0752-58,AM,1948
ctb0756-112,MT,1948
ctb0756-223,MT,1948
ctb0757-8,PI,1948
ctb0767-45,PI,1948
ctb0769-66,RJ,1948
ctb0770-E47,RS,1948
ctb0770-E70,RS,1948
ctb0771-58,MG,1948
ctb0829-E23,AM,1948
ctb0704-10,PI,1948
ctb0704-6,MA,1948
ctb0705-28,PA,1948
ctb0709-55,RR,1948
ctb0713-2,AC,1948
ctb0713-30,AM,1948
ctb0713-32,AM,1948
ctb0751-193,RO,1948
ctb0751-213,RO,1948
ctb0754-32,RO,1948
ctb0757-4,PI,1948
ctb0758-64,TO,1948
ctb0758-65,TO,1948
ctb0664-PERFIL-41,AM,1948
ctb0703-21,PA,1948
ctb0704-29,PI,1948
ctb0705-21,PA,1948
ctb0705-29,PA,1948
ctb0706-12,AP,1948
ctb0706-16,AP,1948
ctb0710-6,RR,1948
ctb0713-63,AC,1948
ctb0713-66,AC,1948
ctb0752-2,AM,1948
ctb0753-115,AM,1948
ctb0757-16,PI,1948
ctb0770-E36,RS,1948
ctb0829-E33,AM,1948
ctb0664-PERFIL-84,AM,1948
ctb0697-1,PI,1948
ctb0704-17,PI,1948
ctb0704-7,MA,1948
ctb0705-19,PA,1948
ctb0706-25,AP,1948
ctb0710-1,RR,1948
ctb0710-20,PA,1948
ctb0711-49,AM,1948
ctb0713-17,AC,1948
ctb0713-59,AC,1948
ctb0751-183,MT,1948
ctb0752-6,AM,1948
ctb0753-130,AM,1948
ctb0758-269,TO,1948
ctb0664-PERFIL-91,AM,1948
ctb0704-24,CE,1948
ctb0705-20,PA,1948
ctb0709-20,RR,1948
ctb0709-21,RR,1948
ctb0709-36,RR,1948
ctb0713-23,AC,1948
ctb0717-14,AM,1948
ctb0717-16,AM,1948
ctb0717-20,AM,1948
ctb0751-178,MT,1948
ctb0751-195,RO,1948
ctb0753-127,AM,1948
ctb0754-33,RO,1948
ctb0770-17,RS,1948
ctb0770-40,RS,1948
ctb0682-245,MS,1948
ctb0682-255,MS,1948
ctb0704-25,MA,1948
ctb0705-27,PA,1948
ctb0709-47,AM,1948
ctb0710-4,RR,1948
ctb0751-85,RO,1948
ctb0751-91,RO,1948
ctb0753-129,AM,1948
ctb0756-116,MT,1948
ctb0756-245,MT,1948
ctb0757-9,PI,1948
ctb0770-E140,RS,1948
ctb0829-E47,AM,1948
ctb0664-PERFIL-82,AM,1948
ctb0703-11,PA,1948
ctb0704-1,MA,1948
ctb0709-24,RR,1948
ctb0713-18,AC,1948
ctb0751-182,MT,1948
ctb0752-45,AM,1948
ctb0664-PERFIL-83,AM,1948
ctb0697-10,PI,1948
ctb0703-12,PA,1948
ctb0704-13,PA,1948
ctb0706-13,AP,1948
ctb0709-56,RR,1948
ctb0709-7,RR,1948
ctb0713-25,AC,1948
ctb0713-74,AM,1948
ctb0713-81,RO,1948
ctb0714-26,AM,1948
ctb0751-13,RO,1948
ctb0752-41,AM,1948
ctb0753-84,AM,1948
ctb0758-277,TO,1948
ctb0770-53,RS,1948
ctb0770-E72,RS,1948
ctb0703-22,TO,1948
ctb0705-17,PA,1948
ctb0705-6,AP,1948
ctb0713-28,AM,1948
ctb0751-198,RO,1948
ctb0756-113,MT,1948
ctb0756-265,MT,1948
ctb0770-E114,RS,1948
ctb0770-E136,RS,1948
ctb0664-PERFIL-86,AM,1948
ctb0664-PERFIL-87,AM,1948
ctb0706-15,AP,1948
ctb0713-43,AC,1948
ctb0713-55,AC,1948
ctb0751-79,RO,1948
ctb0753-52,AM,1948
ctb0754-57,RO,1948
ctb0757-12,PI,1948
ctb0769-71,SP,1948
ctb0770-E31,SC,1948
ctb0664-PERFIL-69,AM,1948
ctb0703-19,PA,1948
ctb0703-5,PA,1948
ctb0703-7,TO,1948
ctb0704-9,CE,1948
ctb0709-46,RR,1948
ctb0713-15,AC,1948
ctb0713-54,AC,1948
ctb0713-57,AC,1948
ctb0713-65,AC,1948
ctb0713-67,AC,1948
ctb0717-46,AC,1948
ctb0717-68,AC,1948
ctb0717-71,AC,1948
ctb0751-60,RO,1948
ctb0752-115,AM,1948
ctb0752-69,AM,1948
ctb0769-80,RJ,1948
ctb0770-E75,RS,1948
ctb0706-9,AP,1948
ctb0707-14,PA,1948
ctb0707-4,AM,1948
ctb0713-21,AC,1948
ctb0713-26,AC,1948
ctb0714-44,AM,1948
ctb0717-23,AM,1948
ctb0717-26,AM,1948
ctb0751-76,RO,1948
ctb0754-89,MT,1948
ctb0770-71,RS,1948
ctb0770-E137,RS,1948
ctb0703-6,PA,1948
ctb0703-8,PA,1948
ctb0704-2,MA,1948
ctb0705-14,PA,1948
ctb0705-30,PA,1948
ctb0707-30,PA,1948
ctb0709-3,RR,1948
ctb0710-32,PA,1948
