dataset_id,estado,data_coleta_ano
ctb0682-238,MS,1960
ctb0678-46,BA,1961
ctb0678-97,PE,1962
ctb0064-8486,CE,1963
ctb0777-15,BA,1964
ctb0677-70,PA,1965
ctb0677-5,TO,1965
ctb0677-80,TO,1965
ctb0064-9004,SE,1966
ctb0662-P55,ES,1966
ctb0662-P9,ES,1966
ctb0064-7852,PB,1967
ctb0064-9826,RN,1967
ctb0636-Perfil-08,MS,1967
ctb0678-33,PE,1967
ctb0678-90,PE,1967
ctb0694-58,RN,1967
ctb0631-Perfil-10,PR,1968
ctb0636-Perfil-16,MS,1968
ctb0636-Perfil-28,MS,1968
ctb0662-P36,ES,1968
ctb0691-18,ES,1968
ctb0770-92,RS,1968
ctb0656-Perfil-50,PB,1968
ctb0636-Perfil-09,MS,1969
ctb0662-P45,ES,1969
ctb0662-P56,ES,1969
ctb0691-8,MG,1969
ctb0064-12085,AL,1969
ctb0064-8241,CE,1969
ctb0064-8935,MS,1969
ctb0777-9,BA,1970
ctb0661-P86,CE,1970
ctb0662-P68,ES,1970
ctb0064-8560,ES,1971
ctb0769-34,ES,1971
ctb0574-GB-19,RJ,1971
ctb0574-GB-23,RJ,1971
ctb0662-P82,ES,1971
ctb0807-P18,RJ,1971
ctb0808-GB-19,RJ,1971
ctb0064-8544,BA,1972
ctb0631-Perfil-32,PR,1972
ctb0679-Perfil-275,BA,1972
ctb0064-12146,AL,1972
ctb0064-8647,BA,1972
ctb0679-Perfil-273,BA,1972
ctb0679-Perfil-329,BA,1972
ctb0064-9445,BA,1973
ctb0631-Perfil-71,PR,1974
ctb0631-Perfil-33,PR,1975
ctb0631-Perfil-65,PR,1975
ctb0607-PERFIL-53,SE,1977
ctb0641-P-IIIRCC-13-PR,PR,1977
ctb0770-21,RS,1977
ctb0770-26,RS,1977
ctb0770-40,RS,1977
ctb0770-56,RS,1977
ctb0770-E23,SC,1977
ctb0826-P18,MG,1977
ctb0770-27,RS,1977
ctb0770-43,RS,1977
ctb0826-P13,MG,1977
ctb0826-P8,MG,1977
ctb0826-PC1,MG,1977
ctb0617-Perfil-17,MG,1978
ctb0617-Perfil-30,MG,1978
ctb0631-Perfil-29,PR,1978
ctb0642-Perfil-71,MG,1978
ctb0667-Perfil-20,PA,1978
ctb0631-Perfil-15,PR,1978
ctb0639-PERFIL-6,MA,1979
ctb0763-109,MT,1979
ctb0637-Perfil-122,PI,1980
ctb0637-Perfil-60,PI,1980
ctb0769-34-EXTRA,MG,1980
ctb0769-55-EXTRA,MG,1981
ctb0771-33-EXTRA,ES,1981
ctb0787-29,SP,1981
ctb0787-31,SP,1981
ctb0787-43,SP,1981
ctb0787-47,SP,1981
ctb0826-PC26,MG,1981
ctb0645-Perfil-163,MA,1981
